Name,Source,Puzzle,Width,Height,x_topleft,y_topleft,x_bottomleft,y_bottomleft,x_bottomright,y_bottomright,x_topright,y_topright,x_topleft_absolute,y_topleft_absolute,x_bottomleft_absolute,y_bottomleft_absolute,x_bottomright_absolute,y_bottomright_absolute,x_topright_absolute,y_topright_absolute
02_17_honor_view_10_0.jpg,honor_view_10,02_17,3456,4608,0.171296296,0.226345486,0.169270833,0.736328125,0.861111111,0.733289931,0.846064815,0.215711806,592,1043,585,3393,2976,3379,2924,994
02_17_honor_view_10_1.jpg,honor_view_10,02_17,4608,3456,0.264322917,0.153935185,0.272786458,0.853009259,0.774956597,0.853009259,0.794704861,0.177951389,1218,532,1257,2948,3571,2948,3662,615
02_18_honor_view_10_0.jpg,honor_view_10,02_18,3456,4608,0.12818287,0.210069444,0.129340278,0.713107639,0.822627315,0.70703125,0.796006944,0.184461806,443,968,447,3286,2843,3258,2751,850
02_18_honor_view_10_1.jpg,honor_view_10,02_18,4608,3456,0.223090278,0.154224537,0.214409722,0.904803241,0.784071181,0.879050926,0.756727431,0.159722222,1028,533,988,3127,3613,3038,3487,552
02_19_honor_view_10_0.jpg,honor_view_10,02_19,3456,4608,0.212962963,0.320963542,0.20775463,0.836371528,0.912615741,0.843315972,0.899305556,0.310112847,736,1479,718,3854,3154,3886,3108,1429
02_19_honor_view_10_1.jpg,honor_view_10,02_19,4608,3456,0.300564236,0.201388889,0.289713542,0.874421296,0.860460069,0.846354167,0.781901042,0.171006944,1385,696,1335,3022,3965,2925,3603,591
02_21_honor_view_10_0.jpg,honor_view_10,02_21,3456,4608,0.159143519,0.307725694,0.190104167,0.745659722,0.775173611,0.787543403,0.818576389,0.310763889,550,1418,657,3436,2679,3629,2829,1432
02_21_honor_view_10_1.jpg,honor_view_10,02_21,4608,3456,0.374131944,0.223668981,0.396918403,0.809027778,0.820095486,0.7734375,0.800130208,0.214409722,1724,773,1829,2796,3779,2673,3687,741
02_22_honor_view_10_0.jpg,honor_view_10,02_22,3456,4608,0.056712963,0.262803819,0.138599537,0.753472222,0.769097222,0.743489583,0.789641204,0.244140625,196,1211,479,3472,2658,3426,2729,1125
02_22_honor_view_10_1.jpg,honor_view_10,02_22,4608,3456,0.306857639,0.162037037,0.273220486,0.862268519,0.859375,0.863136574,0.811414931,0.147569444,1414,560,1259,2980,3960,2983,3739,510
02_23_honor_view_10_0.jpg,honor_view_10,02_23,3456,4608,0.172743056,0.272135417,0.249131944,0.7109375,0.80005787,0.672092014,0.811342593,0.245008681,597,1254,861,3276,2765,3097,2804,1129
02_23_honor_view_10_1.jpg,honor_view_10,02_23,4608,3456,0.296006944,0.256365741,0.291449653,0.827256944,0.718098958,0.871527778,0.758463542,0.278935185,1364,886,1343,2859,3309,3012,3495,964
02_24_honor_view_10_0.jpg,honor_view_10,02_24,3456,4608,0.193287037,0.234157986,0.165509259,0.713975694,0.829861111,0.714626736,0.811342593,0.238064236,668,1079,572,3290,2868,3293,2804,1097
02_24_honor_view_10_1.jpg,honor_view_10,02_24,4608,3456,0.364366319,0.171006944,0.374131944,0.805266204,0.838324653,0.796875,0.845703125,0.16724537,1679,591,1724,2783,3863,2754,3897,578
02_25_honor_view_10_0.jpg,honor_view_10,02_25,3456,4608,0.155092593,0.248914931,0.141493056,0.747178819,0.825810185,0.758246528,0.820601852,0.240234375,536,1147,489,3443,2854,3494,2836,1107
02_25_honor_view_10_1.jpg,honor_view_10,02_25,4608,3456,0.337022569,0.183159722,0.371310764,0.812210648,0.817708333,0.775462963,0.83203125,0.168113426,1553,633,1711,2807,3768,2680,3834,581
02_26_honor_view_10_0.jpg,honor_view_10,02_26,3456,4608,0.174768519,0.276041667,0.165509259,0.715494792,0.787615741,0.700086806,0.744212963,0.255859375,604,1272,572,3297,2722,3226,2572,1179
02_26_honor_view_10_1.jpg,honor_view_10,02_26,4608,3456,0.393012153,0.22193287,0.389973958,0.840856481,0.826388889,0.838831019,0.883463542,0.249421296,1811,767,1797,2906,3808,2899,4071,862
02_28_honor_view_10_0.jpg,honor_view_10,02_28,3456,4608,0.103298611,0.307074653,0.193287037,0.789930556,0.819733796,0.767361111,0.868344907,0.287543403,357,1415,668,3640,2833,3536,3001,1325
02_28_honor_view_10_1.jpg,honor_view_10,02_28,4608,3456,0.446614583,0.209780093,0.443142361,0.776331019,0.850260417,0.779513889,0.88671875,0.22193287,2058,725,2042,2683,3918,2694,4086,767
03_01_honor_view_10_0.jpg,honor_view_10,03_01,3456,4608,0.164351852,0.181423611,0.208912037,0.619357639,0.760706019,0.616319444,0.792824074,0.177517361,568,836,722,2854,2629,2840,2740,818
03_01_honor_view_10_1.jpg,honor_view_10,03_01,4608,3456,0.359809028,0.22974537,0.388888889,0.771701389,0.787543403,0.754340278,0.801866319,0.19994213,1658,794,1792,2667,3629,2607,3695,691
03_02_honor_view_10_0.jpg,honor_view_10,03_02,3456,4608,0.370081019,0.291449653,0.324652778,0.623263889,0.806134259,0.646484375,0.800925926,0.321614583,1279,1343,1122,2872,2786,2979,2768,1482
03_02_honor_view_10_1.jpg,honor_view_10,03_02,4608,3456,0.3671875,0.289641204,0.368489583,0.845486111,0.78125,0.841724537,0.784722222,0.292824074,1692,1001,1698,2922,3600,2909,3616,1012
03_03_honor_view_10_0.jpg,honor_view_10,03_03,3456,4608,0.216145833,0.364366319,0.249131944,0.827039931,0.843460648,0.799913194,0.829861111,0.357421875,747,1679,861,3811,2915,3686,2868,1647
03_03_honor_view_10_1.jpg,honor_view_10,03_03,4608,3456,0.428385417,0.25318287,0.442057292,0.730613426,0.795572917,0.717013889,0.803602431,0.23119213,1974,875,2037,2525,3666,2478,3703,799
